user,item,authors,genres,rating
1598,2550,[932],[1608],2
3210,2570,[22],[1394],4
176,602,[62],"[1439, 1378, 1424]",5
3085,1772,[4],"[1451, 1401]",5
5237,1423,[841],[1601],3
5049,1910,[803],"[1457, 1464, 1398, 1540, 1539, 1374]",5
847,1831,[1031],"[1482, 1370]",5
47,2150,[779],"[1457, 1401, 1540, 1568, 1379]",5
3806,6,[0],"[1360, 1361, 1362]",3
1730,2345,[29],[1473],4
4836,1264,[436],[1401],5
5002,773,[0],"[1360, 1361, 1362]",4
1789,2632,[715],"[1661, 1445]",5
3210,2406,[287],[1568],4
4568,227,[159],[1455],2
4018,248,[173],"[1398, 1374, 1369]",4
3462,987,[634],"[1481, 1377, 1464, 1360]",4
949,1237,[751],[1372],5
3793,458,[327],"[1426, 1376]",5
226,2018,[158],[1374],4
3391,2081,[804],"[1540, 1568, 1379, 1380]",3
5036,932,[389],"[1360, 1551]",5
968,2075,[1126],"[1540, 1568, 1379, 1380]",4
5171,1088,[69],"[1540, 1379, 1380]",5
5456,247,[163],"[1466, 1375]",5
2570,2515,[731],[1438],3
1262,1420,[839],"[1427, 1598]",2
1744,1079,[682],"[1540, 1380, 1409, 1450]",4
5175,1262,[764],"[1475, 1380, 1438]",4
3260,970,[623],"[1374, 1363, 1398, 1464, 1370]",3
4816,1540,[891],"[1457, 1363]",4
5012,1691,[543],"[1369, 1487, 1370]",4
4343,2075,[1126],"[1540, 1568, 1379, 1380]",5
1138,2388,[1252],"[1382, 1392]",1
2563,1922,[1071],[1401],4
4129,2632,[715],"[1661, 1445]",5
5349,2302,[149],"[1370, 1387, 1527, 1377]",4
5388,1479,[144],"[1394, 1363]",3
1249,2632,[715],"[1661, 1445]",4
2611,1049,[544],[1383],5
1980,403,[261],[1375],4
2107,1334,[283],"[1363, 1540, 1379]",4
4873,2632,[715],"[1661, 1445]",5
3025,2324,[682],[1383],3
3423,2286,[35],[1403],3
4337,307,[226],[1401],4
942,2244,[608],"[1360, 1547, 1643, 1361, 1567]",4
