user,item,rating
0,2266,4
0,999,4
0,1921,5
0,2075,4
0,1328,4
0,2482,4
0,151,4
0,1777,3
0,1925,4
0,609,3
0,960,2
0,1421,5
0,93,4
0,2632,5
0,966,4
0,1714,4
0,1713,3
1,1491,5
1,2140,4
1,307,5
1,1613,5
1,2072,3
1,430,4
1,1638,5
1,2074,3
1,2071,3
1,2269,4
2,180,4
2,2577,3
2,2482,4
2,1398,3
2,2201,4
2,1322,3
2,943,4
2,536,3
2,488,4
2,966,3
3,1727,3
3,978,5
3,142,5
3,2478,5
3,1118,5
3,293,5
4,1279,4
4,1216,3
4,2485,4
4,2475,5
4,781,4
4,1933,3
4,1925,4
4,376,5
4,2518,3
4,157,4
4,1316,3
4,1264,4
5,1803,1
5,18,2
5,430,2
5,1440,2
5,2061,4
5,26,2
5,513,1
6,1289,4
6,758,5
6,849,3
6,682,5
6,2269,4
6,683,5
6,681,5
6,2342,4
6,18,3
6,426,3
6,430,5
7,1236,4
7,1518,3
7,111,4
7,1876,3
7,1055,3
7,2040,3
7,1059,5
7,26,3
7,378,5
7,363,5
8,1520,3
8,295,4
8,2317,4
8,665,5
8,2494,5
9,2328,3
9,389,5
9,81,3
9,2276,4
9,583,5
10,2351,4
10,1592,5
10,493,5
10,52,1
11,2596,5
11,1264,4
11,2327,4
11,1549,4
11,1863,5
11,100,5
11,225,4
11,1098,4
11,2380,4
11,2573,4
12,26,4
12,18,5
12,2422,5
12,1297,3
12,1055,5
12,363,4
12,882,5
12,2260,4
12,1887,5
13,1518,5
13,1414,4
13,378,4
13,990,3
13,1469,4
13,1563,4
13,1470,5
14,1738,5
14,1123,5
14,249,5
14,46,5
14,1437,4
14,273,5
14,2085,5
14,2076,5
14,1666,5
14,1886,5
15,1208,4
15,2499,4
15,2602,4
15,2266,4
15,2632,4
15,1881,3
15,1322,5
15,1277,4
15,1710,3
15,2325,4
15,1918,2
15,2455,4
15,641,5
15,1920,2
16,1475,4
16,295,3
16,1499,5
16,2267,4
16,2308,3
16,2516,5
16,1604,5
16,527,4
16,526,4
16,379,5
17,2667,4
17,809,4
17,810,3
17,808,4
17,505,4
17,426,4
18,557,5
18,1381,4
18,142,5
18,362,5
18,1787,4
18,381,5
18,2158,5
18,1783,4
18,1347,4
18,773,4
18,2378,4
18,898,4
19,1999,4
19,1520,5
19,1293,5
19,2233,2
19,1330,2
20,2459,5
20,608,5
20,682,5
20,790,4
20,1234,4
20,681,5
20,2126,5
20,1022,4
20,302,5
21,1283,2
21,906,4
21,1328,5
21,378,4
21,2461,4
22,2115,5
22,1347,4
22,378,5
22,1616,5
22,1951,4
22,987,5
22,2653,4
22,949,5
22,2632,4
22,100,4
22,1711,5
22,1264,4
23,15,5
23,869,5
23,2051,5
23,1200,3
23,2325,4
23,2447,5
24,1347,3
